2459631.5290799998 4.3 3.2000000000000002 SOPHIE
2459918.6893699998 0.6 3.0000000000000000 SOPHIE
2459919.6779100001 16 3.0000000000000000 SOPHIE
2459936.6591300000 -9.1 3.1000000000000001 SOPHIE
2459972.6330200001 11.5 3.2000000000000002 SOPHIE
2459973.5748700001 5.4 3.1000000000000001 SOPHIE
2459975.6605099998 -21.3 3.0000000000000000 SOPHIE
2459978.5608000001 -2.2 3.1000000000000001 SOPHIE
2459980.4928799998 5 4.7999999999999998 SOPHIE
2459984.6332000000 -1.6 3.1000000000000001 SOPHIE
2460007.4432600001 0.1 2.5000000000000000 SOPHIE
2460010.5224100002 -0.6 5.5999999999999996 SOPHIE
2460072.3673899998 -6 4.5000000000000000 SOPHIE
2460073.4348599999 14.8 3.7999999999999998 SOPHIE
2460074.4833399998 12.2 4.0999999999999996 SOPHIE
2460076.3974700002 -14.4 3.1000000000000001 SOPHIE
2460281.7130800001 5.9 4.2000000000000002 SOPHIE
2460285.6336900000 -1.8 3.0000000000000000 SOPHIE
2460288.6686499999 4.7 3.1000000000000001 SOPHIE
2460296.6987100001 -2.3 2.3999999999999999 SOPHIE
2460297.6970700002 4.6 3.0000000000000000 SOPHIE
2460300.6953599998 -11.1 3.8999999999999999 SOPHIE
2460324.6906699999 12 3.1000000000000001 SOPHIE
2460334.6632200000 -8.5 3.2000000000000002 SOPHIE
2460337.5970999999 2.6 3.1000000000000001 SOPHIE
2460354.6001599999 -13.8 3.1000000000000001 SOPHIE
2460386.5322699999 -6 3.1000000000000001 SOPHIE
2460390.4987100000 -4.3 3.1000000000000001 SOPHIE
