2460168.53846    -48.3  26.5 MaHPS
2460212.38972    -86.5  93.4 MaHPS
2460212.41171    -76.8  36.3 MaHPS
2460212.43370    -45.3  36.2 MaHPS
2460219.52249     33.3  24.1 MaHPS
2460219.54451     57.5  30.7 MaHPS
2460219.56652     37.6  24.8 MaHPS
2460220.48547     13.8  60.3 MaHPS
2460220.50752    -84.0  38.6 MaHPS
2460220.52955   -146.3  22.4 MaHPS
2460222.48899    102.7  24.4 MaHPS
2460222.51139     72.3  24.5 MaHPS
2460222.53340    133.7  55.5 MaHPS
2460223.50587     24.1  29.5 MaHPS
2460223.52788     55.9  16.7 MaHPS
2460223.54986     24.7  31.6 MaHPS
2460224.49981   -252.0  70.2 MaHPS
2460224.52183   -142.5  22.0 MaHPS
2460224.54384   -156.1  19.7 MaHPS
2460245.39914   -361.3 143.1 MaHPS
2460245.42116    -70.9  31.1 MaHPS
2460252.55882     -1.8  34.8 MaHPS
2460252.58084   -110.6  37.4 MaHPS
2460282.37398     -2.5  72.0 MaHPS
2460282.39600    131.6  74.3 MaHPS
2460282.42076    -16.3 118.0 MaHPS
2459938.71703   -127.0  41.0 TRES 
2459957.59986    134.0  49.0 TRES 
2460194.94715    197.0  31.0 TRES 
2460208.70663    -33.0  33.0 TRES 
2460210.85081    206.0  30.0 TRES 
2460211.71280     92.0  32.0 TRES 
2460212.78038    -60.0  27.0 TRES 
2460213.92167     32.0  32.0 TRES 
2460216.84988   -109.0  34.0 TRES 
2460218.77496    154.0  37.0 TRES 
2460219.69682     56.0  31.0 TRES 
2460220.70881   -111.0  33.0 TRES 
2460221.77221    113.0  25.0 TRES 
2460225.84852     39.0  29.0 TRES 
2460226.74261    169.0  30.0 TRES 
2460227.86158     25.0  30.0 TRES 
2460218.98342 -49141.6  26.9 NEID 
2460224.74336 -49611.7  13.2 NEID 
2460221.01522 -49603.1  20.9 NEID 
2460238.93732 -49273.0  15.3 NEID 
2460237.94052 -49388.2  19.5 NEID 
2460227.93094 -49456.1  15.8 NEID 
2460236.94669 -49567.5  16.3 NEID 
