2459701.44470    186.8  34.4 MaHPS
2459701.47073     80.7  50.1 MaHPS
2459776.41942    -66.5  27.9 MaHPS
2459776.50127   -105.3  28.1 MaHPS
2459776.54622    -90.4  24.1 MaHPS
2459776.56818    -81.3  14.3 MaHPS
2459776.59213   -122.8  18.5 MaHPS
2459778.56817    409.7  62.0 MaHPS
2459785.61272    136.8  28.3 MaHPS
2459821.46112   -175.7  22.7 MaHPS
2459821.48314   -118.0  12.5 MaHPS
2459821.50516   -152.7  34.7 MaHPS
2459826.40050    166.2  32.6 MaHPS
2459826.42247    204.8  28.4 MaHPS
2459827.37968   -155.3  38.3 MaHPS
2459827.40166   -118.5  53.8 MaHPS
2459827.42363    -84.1  29.0 MaHPS
2459835.40382     79.4  50.9 MaHPS
2459859.46545    -79.3  17.8 MaHPS
2459859.48741    -75.6  20.6 MaHPS
2459859.50935    -93.4  26.8 MaHPS
2459860.31737    -88.8  18.9 MaHPS
2459860.33979    -36.2  40.6 MaHPS
2459860.36174    -40.0  26.0 MaHPS
2459862.36008     82.1  30.5 MaHPS
2459862.38204     98.2  41.8 MaHPS
2459865.30485      4.9   2.1 MaHPS
2459865.32683     62.5  31.1 MaHPS
2459865.53579     51.8   3.3 MaHPS
2459865.55775     57.8  25.9 MaHPS
2459870.30772     45.9  23.1 MaHPS
2459870.32969     79.0  44.3 MaHPS
2459870.35167     35.4  31.4 MaHPS
2459872.30228    -78.5  21.4 MaHPS
2459872.32497    -41.0  30.9 MaHPS
2459872.35071   -116.9  16.3 MaHPS
2459875.33116    -54.8  31.7 MaHPS
2459875.35314    -98.2  33.6 MaHPS
2459878.30492     66.3  31.9 MaHPS
2459878.32690     68.7  48.1 MaHPS
2459879.36013    -38.6  38.4 MaHPS
2459879.38211   -134.3  23.3 MaHPS
2459879.40409    -36.6  28.4 MaHPS
2459881.50890     55.1  21.3 MaHPS
2459881.53135     28.7  27.4 MaHPS
2459882.28825   -116.2  22.6 MaHPS
2459882.31023   -127.7  31.1 MaHPS
2459883.32464    214.6  26.4 MaHPS
2459883.34667    133.7  29.0 MaHPS
2459883.36869    142.1  37.0 MaHPS
2459884.26817    153.2  33.2 MaHPS
2459884.29015    165.2  30.6 MaHPS
2459884.31213    143.8  24.0 MaHPS
2459886.35904    145.0  62.5 MaHPS
2459886.38101    165.9  51.1 MaHPS
2459888.37650    -80.8  27.6 MaHPS
2459888.39847    -84.8  23.6 MaHPS
2459888.42044    -87.9  38.6 MaHPS
2459891.35785    -28.2  21.3 MaHPS
2459891.37985    -39.4  29.9 MaHPS
2459891.40186    -19.4  22.4 MaHPS
2459892.28236     10.3  31.5 MaHPS
2459892.30434     30.3  37.2 MaHPS
2459892.32632     15.6  41.8 MaHPS
2459894.29479    -11.0  19.7 MaHPS
2459894.31677      0.5  18.2 MaHPS
2459894.33874     31.5  21.1 MaHPS
2459895.45297      4.5  32.2 MaHPS
2459895.47494     -1.3  31.8 MaHPS
2459895.49715    -47.3  45.0 MaHPS
2459896.31166    271.6  36.5 MaHPS
2459896.33362    236.9  26.6 MaHPS
2459896.35560    227.9  46.2 MaHPS
2459901.28853    -78.1  23.5 MaHPS
2459911.20916    -45.4  24.9 MaHPS
2459911.23112   -104.1  19.4 MaHPS
2459911.25310    -46.6  30.4 MaHPS
2459916.47061    129.2  37.2 MaHPS
2459916.66564     71.1  59.8 MaHPS
2459916.68763     69.5  44.4 MaHPS
2459916.70959     50.8  49.0 MaHPS
2459916.73157     14.4  43.3 MaHPS
2459942.55225    -24.9  40.9 MaHPS
2459942.59622   -114.1  44.3 MaHPS
2459946.69722     28.8  37.0 MaHPS
2459946.71917     36.3  28.6 MaHPS
2459946.74110      7.6  20.2 MaHPS
2459948.38745     36.3  27.8 MaHPS
2459948.40948     72.9  31.3 MaHPS
2459948.63771    171.6  68.4 MaHPS
2459948.65969    140.1  54.5 MaHPS
2459948.68167     60.3  51.6 MaHPS
2459951.24139    208.3  41.6 MaHPS
2459952.71211   -187.8  52.7 MaHPS
2459955.24302    -37.6  43.1 MaHPS
2459955.26501   -141.7  34.9 MaHPS
2459960.62674    234.6  43.8 MaHPS
2459960.64870    220.3  63.8 MaHPS
2459960.67068    156.1  37.0 MaHPS
2459969.64640    -55.5  82.7 MaHPS
2459969.66837      3.1  64.3 MaHPS
2459969.69034     31.7  70.7 MaHPS
2459988.72199     41.9  23.5 MaHPS
2459989.62623    235.3  98.8 MaHPS
2459989.64819    135.6  34.3 MaHPS
2459989.67017    135.6  37.4 MaHPS
2460005.59390    216.5  44.0 MaHPS
2460005.61598    172.3  37.4 MaHPS
