2460135.51762     39.6  32.2 MaHPS
2460135.54028      4.1  22.9 MaHPS
2460135.56226     21.2  12.4 MaHPS
2460140.51457     54.8  17.2 MaHPS
2460140.53698     71.4  11.7 MaHPS
2460140.55942     52.3  12.6 MaHPS
2460143.59480    123.5  22.4 MaHPS
2460148.47339    100.4  33.9 MaHPS
2460149.54019   -129.3  29.3 MaHPS
2460149.56215   -103.3  25.5 MaHPS
2460149.58410    -78.8  38.5 MaHPS
2460168.45088   -146.4  18.2 MaHPS
2460168.47286   -135.7  19.8 MaHPS
2460168.49483   -142.6  14.5 MaHPS
2460176.45662     79.5  16.2 MaHPS
2460176.47863     89.4  19.6 MaHPS
2460177.47812      2.7  20.0 MaHPS
2460177.50009      4.5  14.4 MaHPS
2460177.52208     -1.8  12.7 MaHPS
2460189.49916     12.3  41.4 MaHPS
2460190.58568     45.7  18.0 MaHPS
2460191.61933     -2.8  54.3 MaHPS
2460192.39971   -162.1  36.1 MaHPS
2460192.44366   -173.2  35.4 MaHPS
2460192.46912   -210.5  26.9 MaHPS
2460193.38953    150.0  27.6 MaHPS
2460195.49819     24.8  25.0 MaHPS
2460195.52016     31.1  15.1 MaHPS
2460199.42587   -106.0  35.7 MaHPS
2460199.44785    -10.2  38.7 MaHPS
2460199.47697   -110.1  24.6 MaHPS
2460204.41383   -105.6  19.1 MaHPS
2460204.43580   -105.1  16.6 MaHPS
2460204.45775    -89.6  15.4 MaHPS
2460205.46146    171.4  19.2 MaHPS
2460205.48341    179.4  20.9 MaHPS
2460205.50538    175.9  18.9 MaHPS
2460207.44689     41.4  27.4 MaHPS
2460207.46884     65.0  23.7 MaHPS
2460208.39103     83.0  30.9 MaHPS
2460208.41331    123.9  37.0 MaHPS
2460208.43529     37.8  47.3 MaHPS
